folder	key	title	score	reviews	year	id	link
dreamcast	18 wheeler american pro trucker	18 Wheeler: American Pro Trucker	63.58	28	2001	437055	http://www.gamerankings.com/dreamcast/437055-18-wheeler-american-pro-trucker/index.html
dreamcast	4 wheel thunder	4 Wheel Thunder	75.51	19	2000	196518	http://www.gamerankings.com/dreamcast/196518-4-wheel-thunder/index.html
dreamcast	4x4 evolution	4x4 Evolution	78.15	20	2000	914204	http://www.gamerankings.com/dreamcast/914204-4x4-evolution/index.html
dreamcast	aerowings	AeroWings	72.18	17	1999	196552	http://www.gamerankings.com/dreamcast/196552-aerowings/index.html
dreamcast	aerowings 2 air strike	AeroWings 2: Air Strike	69.48	23	2000	259173	http://www.gamerankings.com/dreamcast/259173-aerowings-2-air-strike/index.html
dreamcast	airforce delta	AirForce Delta	65.91	15	1999	196566	http://www.gamerankings.com/dreamcast/196566-airforce-delta/index.html
dreamcast	alien front online	Alien Front Online	77.25	17	2001	914120	http://www.gamerankings.com/dreamcast/914120-alien-front-online/index.html
dreamcast	alone in the dark the new nightmare	Alone in the Dark: The New Nightmare	73.62	23	2001	196595	http://www.gamerankings.com/dreamcast/196595-alone-in-the-dark-the-new-nightmare/index.html
dreamcast	armada	Armada	75.56	19	1999	196628	http://www.gamerankings.com/dreamcast/196628-armada/index.html
dreamcast	army men sarge s heroes	Army Men: Sarge's Heroes	55.5	10	2000	257232	http://www.gamerankings.com/dreamcast/257232-army-men-sarges-heroes/index.html
dreamcast	atari anniversary edition	Atari Anniversary Edition	61.5	10	2001	526672	http://www.gamerankings.com/dreamcast/526672-atari-anniversary-edition/index.html
dreamcast	bang gunship elite	BANG! Gunship Elite	64.25	8	2000	448828	http://www.gamerankings.com/dreamcast/448828-bang-gunship-elite/index.html
dreamcast	bangai o	Bangai-O	84.53	15	2001	196683	http://www.gamerankings.com/dreamcast/196683-bangai-o/index.html
dreamcast	blue stinger	Blue Stinger	69.82	22	1999	196791	http://www.gamerankings.com/dreamcast/196791-blue-stinger/index.html
