folder	key	title	critic	user	release	developer	publisher	critic_sources	user_sources
dreamcast	crazy taxi	Crazy Taxi	9.0	8.5	2000-01-24	Hitmaker	Sega	GameRankings (n=37)=9.0	LaunchBox community Bayesian (raw 8.5, n=375)=8.5
dreamcast	ecco the dolphin defender of the future	Ecco the Dolphin: Defender of the Future	8.1	7.9	2000-08-15	Appaloosa Interactive	Sega	Metacritic=8.4; GameRankings (n=29)=8.1	Metacritic users=7.8; LaunchBox community Bayesian (raw 8.0, n=99)=7.9; Legacy community=7.9
dreamcast	fighting force 2	Fighting Force 2	5.0	6.5	1999-11-30	Core Design	Eidos Interactive	GameRankings (n=17)=5.0	Metacritic users=5.8; LaunchBox community Bayesian (raw 7.3, n=57)=7.3; Legacy community=6.5
dreamcast	hydro thunder	Hydro Thunder	7.9	8.1	1999-09-08	Eurocom Developments	Midway Home Entertainment	GameRankings (n=30)=7.9	Metacritic users=8.1; LaunchBox community Bayesian (raw 8.2, n=131)=8.1
dreamcast	jet grind radio	Jet Grind Radio	9.2	8.5	2000-06-29	Smilebit	Sega	GameRankings (n=43)=9.2	LaunchBox community Bayesian (raw 8.6, n=223)=8.5; LaunchBox Community=8.5
dreamcast	legacy of kain soul reaver	Legacy of Kain: Soul Reaver	8.8	8.6	2000-01-27	Crystal Dynamics	Eidos Interactive	Metacritic=9.1; GameRankings (n=26)=8.8	Metacritic users=8.7; LaunchBox community Bayesian (raw 8.6, n=122)=8.5
dreamcast	marvel vs capcom 2	Marvel vs. Capcom 2	9.0	8.9	2000-06-29	Capcom	Capcom	Metacritic=9.0; GameRankings (n=29)=9.0	Metacritic users=8.7; LaunchBox community Bayesian (raw 9.2, n=419)=9.1; Legacy community=8.9
dreamcast	mdk 2	MDK 2	8.8	8.0	2000-03-31	BioWare	Interplay	GameRankings (n=26)=8.8	LaunchBox community Bayesian (raw 8.2, n=67)=8.0; LaunchBox Community=8.0
dreamcast	mortal kombat gold	Mortal Kombat Gold	5.5	7.2	1999-08-31	Eurocom Developments	Midway Home Entertainment	GameRankings (n=18)=5.5	Metacritic users=7.0; LaunchBox community Bayesian (raw 7.3, n=151)=7.3; Legacy community=7.2
dreamcast	rayman 2 the great escape	Rayman 2: The Great Escape	9.3	8.4	2000-03-21	Ubi Soft Entertainment Software	Ubi Soft Entertainment Software	GameRankings (n=22)=9.3	LaunchBox community Bayesian (raw 8.5, n=116)=8.4; LaunchBox Community=8.4
dreamcast	resident evil code veronica	Resident Evil: Code Veronica	9.4	8.4	2000-03-28			GameRankings=9223372036854775807 (n=40)	Metacritic users=8.4
dreamcast	shenmue	Shenmue	8.9	9.0	2000-11-07			Metacritic=8.8; GameRankings (n=48)=8.9	Metacritic users=9.0
dreamcast	skies of arcadia	Skies of Arcadia	9.1	8.9	2000-11-13			Metacritic=9.3; GameRankings (n=40)=9.1	Metacritic users=8.9
dreamcast	sonic adventure	Sonic Adventure	8.7	8.6	1999-09-09	Sonic Team	Sega of America	GameRankings (n=21)=8.7	Metacritic users=8.6; LaunchBox community Bayesian (raw 8.6, n=399)=8.6
dreamcast	sonic adventure 2	Sonic Adventure 2	8.3	8.6	2001-06-19	Sega Studios USA	Sega	Metacritic=8.9; GameRankings (n=34)=8.3	Metacritic users=8.6; LaunchBox community Bayesian (raw 8.7, n=303)=8.6
dreamcast	sonic adventure limited edition	Sonic Adventure: Limited Edition		6.9	1999-07-15	Sonic Team	Sega of America		LaunchBox community Bayesian (raw 6.8, n=12)=6.9; LaunchBox Community=6.9
dreamcast	soul calibur	Soul Calibur	9.8	8.5	1999-09-08	Project Soul	Namco	Metacritic=9.8	Metacritic users=7.6; LaunchBox community Bayesian (raw 9.4, n=387)=9.3; Legacy community=8.5
dreamcast	south park rally	South Park Rally	4.5	5.8	2000-06-30	Tantalus Interactive	Acclaim Entertainment	GameRankings (n=13)=4.5	Metacritic users=5.4; LaunchBox community Bayesian (raw 6.1, n=30)=6.3; Legacy community=5.8
dreamcast	star wars episode i racer	Star Wars: Episode I: Racer	7.5	7.8	2000-04-04	LucasArts Entertainment	LucasArts Entertainment	GameRankings (n=19)=7.5	LaunchBox community Bayesian (raw 7.9, n=135)=7.8; LaunchBox Community=7.8
gamegear	007 james bond the duel	007 James Bond: The Duel
gamegear	5 in 1 funpak	5 in 1 Funpak
gamegear	addams family	Addams Family	7.0	5.6	1993-12-01	Arc Developments	Flying Edge	MobyGames (n=5)=7.0	GameFAQs community=5.2; LaunchBox community Bayesian (raw 5.9, n=49)=6.1; Legacy community=5.6
gamegear	adventures of batman and robin	Adventures of Batman and Robin	7.1	5.3	1995	Novotrade International, Inc.		MobyGames (n=5)=7.1	GameFAQs community=5.3
gamegear	aerial assault	Aerial Assault	4.3	6.6	1992-06-05	Sega Enterprises	Sega of America	MobyGames (n=5)=4.3	GameFAQs community=6.7; LaunchBox community Bayesian (raw 6.4, n=50)=6.5; LaunchBox Community=6.6
gamegear	aladdin	Aladdin
gamegear	aleste	Aleste
gamegear	alien 3	Alien 3	7.4	5.6	1992-11-01	Probe Software	Arena Entertainment	MobyGames (n=5)=7.4	GameFAQs community=4.9; LaunchBox community Bayesian (raw 6.2, n=58)=6.3; LaunchBox Community=5.6
gamegear	alien syndrome	Alien Syndrome	6.8	6.0	1992-03-19	SIMS	Sega Enterprises	MobyGames (n=5)=6.8	GameFAQs community=5.2; LaunchBox community Bayesian (raw 6.7, n=49)=6.8; LaunchBox Community=6.0
gamegear	andre agassi tennis	Andre Agassi Tennis		4.8	1993-02-01	Spidersoft	Lance Investments		GameFAQs community=3.2; LaunchBox community Bayesian (raw 6.2, n=38)=6.4; LaunchBox Community=4.8
gamegear	arcade classics	Arcade Classics	6.5	6.2	1996-03-01	Al Baker & Associates	Sega of America	MobyGames (n=5)=6.5	GameFAQs community=5.8; LaunchBox community Bayesian (raw 6.4, n=32)=6.5; LaunchBox Community=6.2
gamegear	arch rivals	Arch Rivals
gamegear	arena maze of death	Arena: Maze of Death	7.8	6.5	1995	Eden Entertainment Software Ltd.		MobyGames (n=5)=7.8	GameFAQs community=6.5
gamegear	ariel the little mermaid	Ariel: The Little Mermaid
gamegear	asterix and the great rescue	Asterix and the Great Rescue	6.7	6.5	1994-01-01	Core Design	Sega of America	MobyGames (n=5)=6.7	GameFAQs community=5.3; LaunchBox community Bayesian (raw 7.7, n=44)=7.6; LaunchBox Community=6.5
gamegear	ayrton senna s super monaco gp 2	Ayrton Senna's Super Monaco GP 2	6.8	6.2	1992-08-28	Sega Enterprises	Sega Enterprises	MobyGames (n=5)=6.8	LaunchBox community Bayesian (raw 6.0, n=41)=6.2; LaunchBox Community=6.2
gamegear	baku baku animals	Baku Baku Animals
gamegear	baseball 91	Baseball '91
gamegear	batman forever	Batman Forever	5.2	5.1	1995-09-07	Probe Entertainment	Acclaim Entertainment	MobyGames (n=5)=5.2	GameFAQs community=3.1; LaunchBox community Bayesian (raw 7.0, n=52)=7.0; LaunchBox Community=5.1
gamegear	batter up	Batter Up	6.7	6.1	1991-04-05	Namco	Namco	MobyGames (n=5)=6.7	GameFAQs community=5.8; LaunchBox community Bayesian (raw 6.2, n=26)=6.4; LaunchBox Community=6.1
gamegear	battleship	Battleship		5.5					GameFAQs community=5.5
gamegear	battletoads	Battletoads	6.8	7.0	1993-12-01	Rare	Tradewest	MobyGames (n=5)=6.8	GameFAQs community=6.3; LaunchBox community Bayesian (raw 7.7, n=70)=7.6; LaunchBox Community=7.0
gamegear	beavis and butt head	Beavis and Butt-Head		4.6	1994-01-01	NuFX	Viacom New Media		GameFAQs community=3.7; LaunchBox community Bayesian (raw 5.0, n=35)=5.4; LaunchBox Community=4.6
gamegear	berenstain bears camping adventure	Berenstain Bears: Camping Adventure		6.0	1994-10-01	Realtime Associates	Sega of America		GameFAQs community=6.0; LaunchBox community Bayesian (raw 5.6, n=33)=5.9
gamegear	bonkers wax up	Bonkers Wax Up!		5.9	1995-01-01	Al Baker & Associates	Sega of America		LaunchBox community Bayesian (raw 5.7, n=42)=5.9; LaunchBox Community=5.9
gamegear	bram stoker s dracula	Bram Stoker's Dracula	8.0	4.6	1993-08-01	Probe Software	Sony Imagesoft	MobyGames (n=5)=8.0	GameFAQs community=2.3; LaunchBox community Bayesian (raw 6.9, n=36)=6.9; LaunchBox Community=4.6
gamegear	bubble bobble	Bubble Bobble		8.0	1994-01-01	Taito	Taito America		GameFAQs community=8.1; LaunchBox community Bayesian (raw 8.3, n=35)=8.0; LaunchBox Community=8.0
gamegear	bugs bunny in double trouble	Bugs Bunny in Double Trouble		6.2	1996-07-01	Probe Entertainment	Sega Enterprises		GameFAQs community=5.2; LaunchBox community Bayesian (raw 7.2, n=45)=7.2; LaunchBox Community=6.2
gamegear	bust a move	Bust-A-Move		8.0	1995-01-01	Santos	Taito		GameFAQs community=8.3; LaunchBox community Bayesian (raw 8.1, n=40)=7.9; LaunchBox Community=8.0
gamegear	caesar s palace	Caesar's Palace	4.8	6.7	1994-03-01	Teeny Weeny Games	Virgin Games	MobyGames (n=5)=4.8	LaunchBox community Bayesian (raw 6.5, n=23)=6.7; LaunchBox Community=6.7
