folder	key	title	score	year	developer	source
megadrive	time killers	Time Killers	20	1996	Incredible Technologies, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	xdr x dazedly ray	XDR: X-Dazedly-Ray	30	1990	Unipacc	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	instruments of chaos starring young indiana jones	Instruments of Chaos Starring Young Indiana Jones	30	1994	Waterman Design, Inc.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	dark castle	Dark Castle	31	1991	Silicon Beach Software, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	arcade classics	Arcade Classics	32	1996	Atari, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	double dragon 3 the rosetta stone	Double Dragon 3: The Rosetta Stone	33	1992	East Technology Corp.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	gunship	Gunship	33	1993	Probe Software Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	sword of sodan	Sword of Sodan	34	1990	Discovery Software International, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	unnecessary roughness 95	Unnecessary Roughness '95	35	1994	Accolade, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	double dragon ii the revenge	Double Dragon II: The Revenge	36	1991	Technos Japan Corp.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	cutthroat island	Cutthroat Island	36	1996	Software Creations Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	barney s hide seek game	Barney's Hide & Seek Game	36	1993	Realtime Associates, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	heavy nova	Heavy Nova	37	1992	Holocronet	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	f1 triple battle	F1 Triple Battle	37	1991	Human Entertainment, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	american gladiators	American Gladiators	38	1993	Imagitec Design Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	rise of the robots	Rise of the Robots	38	1994	Mirage Technologies (Multimedia) Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	techno cop	Techno Cop	39	1990	Imagexcel	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	hit the ice the video hockey league	Hit the Ice: The Video Hockey League	39	1992	Taito Corporation	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	beast wrestler	Beast Wrestler	40	1991	Riot	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	t2 terminator 2 judgment day	T2: Terminator 2 - Judgment Day	40	1993	B.I.T.S., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	traysia	Traysia	40	1992	Riot	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	galaxy force ii	Galaxy Force II	41	1991	Sega R&D1	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	syd of valis	Syd of Valis	42	1992	I.S.C. Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	the tick	The Tick	42	1994	Software Creations Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	warpspeed	WarpSpeed	42	1993	Accolade, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	disney s ariel the little mermaid	Disney's Ariel the Little Mermaid	43	1992	BlueSky Software, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	revolution x	Revolution X	43	1995	Midway Manufacturing Company	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	menacer 6 game cartridge	Menacer 6-Game Cartridge	43	1992	Western Technologies Inc.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	wheel of fortune	Wheel of Fortune	43	1992	Imagitec Design Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	street smart	Street Smart	45	1991	SNK Corporation	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	tony la russa baseball	Tony La Russa Baseball	46	1993	Beyond Software, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	deadly moves	Deadly Moves	46	1992	System Vision	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	espn baseball tonight	ESPN Baseball Tonight	46	1994	Stormfront Studios	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	pac man 2 the new adventures	Pac-Man 2: The New Adventures	46	1994	Namco Limited	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	the adventures of rocky and bullwinkle and friends	The Adventures of Rocky and Bullwinkle and Friends	46	1993	Absolute Entertainment, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	disney s beauty and the beast roar of the beast	Disney's Beauty and the Beast: Roar of the Beast	47	1993	Software Creations Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	championship bowling	Championship Bowling	47	1993	Soft Machine	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	nba all star challenge	NBA All-Star Challenge	47	1992	Beam Software Pty., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	nastar warrior	Nastar Warrior	47	1990	Taito Corporation	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	steel talons	Steel Talons	47	1992	Atari Games Corporation	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	exo squad	Exo Squad	47	1995	Novotrade Software Kft.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:1/
megadrive	shadow blasters	Shadow Blasters	47	1990	Cyclone System	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	bram stoker s dracula	Bram Stoker's Dracula	48	1993	Traveller's Tales (UK) Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	quad challenge	Quad Challenge	48	1991	Namco Limited	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	andre agassi tennis	Andre Agassi Tennis	48	1992	TecMagik Entertainment Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	captain planet and the planeteers	Captain Planet and the Planeteers	48	1992	NovaLogic, Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	air diver	Air Diver	49	1990	Copya System Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	mickey s ultimate challenge	Mickey's Ultimate Challenge	49	1994	Designer Software	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	growl	Growl	49	1991	Taito Corporation	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:1/
megadrive	disney s beauty and the beast belle s quest	Disney's Beauty and the Beast: Belle's Quest	50	1993	Software Creations Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	kageki	Kageki	50	1991	Kaneko Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	dick vitale s awesome baby college hoops	Dick Vitale's "Awesome, Baby!" College Hoops	50	1994	Tengen Inc.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	super volley ball	Super Volley ball	50	1990	Video System Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	strider 2	Strider 2	50	1993	Tiertex Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	devilish the next possession	Devilish: The Next Possession	50	1992	Genki Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	venom spider man separation anxiety	Venom • Spider-Man: Separation Anxiety	50	1995	Software Creations Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	cliffhanger	Cliffhanger	50	1993	Malibu Interactive	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	cal ripken jr baseball	Cal Ripken Jr. Baseball	50	1992	Beam Software Pty., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	nakajima satoru kansh f 1 grand prix	Nakajima Satoru Kanshū F-1 Grand Prix	50	1991	Varie Corporation	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	back to the future part iii	Back to the Future Part III	50	1991	Probe Software Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	foreman for real	Foreman for Real	50	1995	Software Creations Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	double dragon	Double Dragon	50	1993	Technos Japan Corp.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	pel	Pelé!	51	1993	Radical Entertainment Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	the duel test drive ii	The Duel: Test Drive II	51	1992	Distinctive Software, Inc.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	the adventures of mighty max	The Adventures of Mighty Max	51	1994	WJS Design	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
megadrive	mighty morphin power rangers	Mighty Morphin Power Rangers	51	1994	Nova Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	curse	Curse	52	1989	Micronet Co. Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	justice league task force	Justice League: Task Force	52	1995	Sun Corporation of America	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	mighty morphin power rangers the movie	Mighty Morphin Power Rangers: The Movie	52	1995	SIMS Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	olympic summer games	Olympic Summer Games	52	1996	Tiertex Ltd.	https://www.mobygames.com/game/platform:genesis/sort:-critic_score/page:2/
megadrive	world heroes	World Heroes	52	1994	Alpha Denshi Kōgyō Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:1/
