company	asset	source	games
Nintendo	nintendo.png	typographic	385
Konami	konami.png	simple-icons:konami	323
Electronic Arts	electronic-arts.png	simple-icons:ea	202
Capcom	capcom.png	typographic	193
Acclaim Entertainment	acclaim-entertainment.png	typographic	175
THQ	thq.png	typographic	173
Sega of America	sega-of-america.png	typographic	170
Taito	taito.png	typographic	101
Sunsoft	sunsoft.png	typographic	96
Sega Enterprises	sega-enterprises.png	simple-icons:sega	95
Namco	namco.png	typographic	94
Hudson Soft	hudson-soft.png	typographic	90
Activision	activision.png	simple-icons:activision	85
Rare	rare.png	typographic	83
Ocean Software	ocean-software.png	typographic	80
Natsume	natsume.png	typographic	75
Midway Home Entertainment	midway-home-entertainment.png	typographic	72
Koei	koei.png	typographic	69
TOSE	tose.png	typographic	68
Jaleco	jaleco.png	typographic	61
Tecmo	tecmo.png	typographic	61
Data East	data-east.png	typographic	59
Beam Software	beam-software.png	typographic	59
Infogrames	infogrames.png	typographic	55
Mindscape	mindscape.png	typographic	55
GameTek	gametek.png	typographic	54
Sculptured Software	sculptured-software.png	typographic	54
Ubi Soft Entertainment Software	ubi-soft-entertainment-software.png	typographic	53
Kemco	kemco.png	typographic	49
Tengen	tengen.png	typographic	48
Atlus	atlus.png	typographic	47
Software Creations	software-creations.png	typographic	46
Sony Imagesoft	sony-imagesoft.png	typographic	44
HAL Laboratory	hal-laboratory.png	typographic	41
Virgin Games	virgin-games.png	typographic	40
Digital Eclipse Software	digital-eclipse-software.png	typographic	39
LJN	ljn.png	typographic	38
Accolade	accolade.png	typographic	38
Vicarious Visions	vicarious-visions.png	typographic	35
Irem	irem.png	typographic	34
Nintendo EAD	nintendo-ead.png	typographic	34
Probe Software	probe-software.png	typographic	33
Tradewest	tradewest.png	typographic	32
Kotobuki System	kotobuki-system.png	typographic	32
Imagineering	imagineering.png	typographic	31
Vic Tokai	vic-tokai.png	typographic	31
Iguana Entertainment	iguana-entertainment.png	typographic	30
Sega	sega.png	simple-icons:sega	30
Crawfish Interactive	crawfish-interactive.png	typographic	30
Titus Software	titus-software.png	typographic	29
Hi-Tech Expressions	hi-tech-expressions.png	typographic	28
Intelligent Systems	intelligent-systems.png	typographic	28
SNK	snk.png	typographic	28
FCI	fci.png	typographic	28
Realtime Associates	realtime-associates.png	typographic	28
Atari	atari.png	simple-icons:atari	28
Bandai	bandai.png	typographic	27
3DO	3do.png	typographic	27
Square	square.png	simple-icons:square	26
Black Pearl Software	black-pearl-software.png	typographic	26
Electro Brain	electro-brain.png	typographic	26
Crave Entertainment	crave-entertainment.png	typographic	26
Nintendo R&D1	nintendo-r-d1.png	typographic	26
Titus France	titus-france.png	typographic	25
Majesco Sales	majesco-sales.png	typographic	25
Codemasters	codemasters.png	typographic	25
BAM! Entertainment	bam-entertainment.png	typographic	25
Sachen	sachen.png	typographic	24
Color Dreams	color-dreams.png	typographic	24
Torus Games	torus-games.png	typographic	24
SETA	seta.png	typographic	23
U.S. Gold	u-s-gold.png	typographic	23
Tiertex	tiertex.png	typographic	23
Interplay Productions	interplay-productions.png	typographic	22
Culture Brain	culture-brain.png	typographic	22
Destination Software	destination-software.png	typographic	22
Eurocom Entertainment Software	eurocom-entertainment-software.png	typographic	21
Virgin Interactive Entertainment	virgin-interactive-entertainment.png	typographic	21
Probe Entertainment	probe-entertainment.png	typographic	20
Takara	takara.png	typographic	20
Altron	altron.png	typographic	20
Absolute Entertainment	absolute-entertainment.png	typographic	20
Enix	enix.png	typographic	19
Park Place Productions	park-place-productions.png	typographic	19
American Video Entertainment	american-video-entertainment.png	typographic	19
Ultra Games	ultra-games.png	typographic	19
Technōs Japan	technos-japan.png	typographic	18
Ubisoft Entertainment	ubisoft-entertainment.png	simple-icons:ubisoft	18
Psygnosis	psygnosis.png	typographic	17
Viacom New Media	viacom-new-media.png	typographic	17
Radical Entertainment	radical-entertainment.png	typographic	17
Hot-B	hot-b.png	typographic	17
Human Entertainment	human-entertainment.png	typographic	17
Saffire	saffire.png	typographic	17
WayForward Technologies	wayforward-technologies.png	typographic	17
Flying Edge	flying-edge.png	typographic	17
BlueSky Software	bluesky-software.png	typographic	17
Tiertex Design Studios	tiertex-design-studios.png	typographic	16
Bullet-Proof Software	bullet-proof-software.png	typographic	16
Imagineer	imagineer.png	typographic	16
Game Freak	game-freak.png	typographic	16
Kid	kid.png	typographic	15
Athena	athena.png	typographic	15
Konami Computer Entertainment Osaka	konami-computer-entertainment-osaka.png	typographic	15
Compile	compile.png	typographic	15
