metadata	title	provider
99-lucent-auto-dreamcast.metadata.pegasus.txt	Resident Evil: Code Veronica	steamgriddb
99-lucent-auto-gb.metadata.pegasus.txt	Mr. Chin's Gourmet Paradise	steamgriddb
99-lucent-auto-gba.metadata.pegasus.txt	Dr. Seuss' The Cat in the Hat	thegamesdb
99-lucent-auto-gba.metadata.pegasus.txt	Super Puzzle Fighter II Turbo	steamgriddb
99-lucent-auto-gba.metadata.pegasus.txt	Tactics Ogre: The Knight of Lodis	steamgriddb
99-lucent-auto-gbc.metadata.pegasus.txt	Astérix & Obélix	steamgriddb
99-lucent-auto-gbc.metadata.pegasus.txt	Game & Watch Gallery 3	steamgriddb
99-lucent-auto-gbc.metadata.pegasus.txt	Super Mario Bros. Special	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Burnout 2: Point of Impact	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Eternal Darkness: Sanity's Requiem	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	F-Zero GX	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Luigi's Mansion	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Mega Man X Collection	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Metroid Prime 2: Echoes	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	SoulCalibur II	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Super Smash Bros. Melee	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	The Legend of Zelda: Collector's Edition	thegamesdb
99-lucent-auto-gc.metadata.pegasus.txt	The Legend of Zelda: Four Swords Adventures	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	The Legend of Zelda: The Wind Waker	steamgriddb
99-lucent-auto-gc.metadata.pegasus.txt	Wave Race: Blue Storm	steamgriddb
99-lucent-auto-megadrive.metadata.pegasus.txt	Alien Storm	steamgriddb
99-lucent-auto-megadrive.metadata.pegasus.txt	Altered Beast	steamgriddb
99-lucent-auto-megadrive.metadata.pegasus.txt	The Adventures of Batman and Robin	steamgriddb
99-lucent-auto-n3ds.metadata.pegasus.txt	The Legend of Zelda Majora's Mask 3D	steamgriddb
99-lucent-auto-nes.metadata.pegasus.txt	Donkey Kong Jr. Math	steamgriddb
99-lucent-auto-nes.metadata.pegasus.txt	Dr. Mario	steamgriddb
99-lucent-auto-nes.metadata.pegasus.txt	G.I. Joe: A Real American Hero	steamgriddb
99-lucent-auto-nes.metadata.pegasus.txt	Super Mario Bros. 3	steamgriddb
99-lucent-auto-nes.metadata.pegasus.txt	The Simpsons: Bart Vs. the World	steamgriddb
99-lucent-auto-ps2.metadata.pegasus.txt	Capcom vs. SNK 2: Mark of the Millennium 2001	steamgriddb
99-lucent-auto-ps2.metadata.pegasus.txt	DOA2: Hardcore	thegamesdb
99-lucent-auto-ps2.metadata.pegasus.txt	Prince of Persia: The Sands of Time	thegamesdb
99-lucent-auto-ps2.metadata.pegasus.txt	Soulcalibur III	steamgriddb
99-lucent-auto-ps2.metadata.pegasus.txt	Tekken 5	steamgriddb
99-lucent-auto-ps2.metadata.pegasus.txt	Tony Hawk's Pro Skater 3	thegamesdb
99-lucent-auto-psp.metadata.pegasus.txt	Castlevania: The Dracula X Chronicles	steamgriddb
99-lucent-auto-psp.metadata.pegasus.txt	God of War: Ghost of Sparta	steamgriddb
99-lucent-auto-snes.metadata.pegasus.txt	Jim Lee's WildC A T S: Covert-Action-Teams	steamgriddb
99-lucent-auto-snes.metadata.pegasus.txt	Pocky & Rocky	steamgriddb
99-lucent-auto-snes.metadata.pegasus.txt	The King of Dragons	steamgriddb
99-lucent-auto-switch.metadata.pegasus.txt	Blasphemous II	steamgriddb
99-lucent-auto-switch.metadata.pegasus.txt	Mega Man 11	steamgriddb
99-lucent-auto-switch.metadata.pegasus.txt	Metroid Dread	thegamesdb
99-lucent-auto-switch.metadata.pegasus.txt	Prince of Persia The Lost Crown	thegamesdb
99-lucent-auto-switch.metadata.pegasus.txt	Super Mario 3D World Bowsers Fury	steamgriddb
99-lucent-auto-wii.metadata.pegasus.txt	Excite Truck	steamgriddb
99-lucent-auto-wii.metadata.pegasus.txt	Mario Kart Wii	thegamesdb
99-lucent-auto-wii.metadata.pegasus.txt	Muramasa: The Demon Blade	thegamesdb
99-lucent-auto-wii.metadata.pegasus.txt	Pandora's Tower	thegamesdb
99-lucent-auto-wii.metadata.pegasus.txt	Resident Evil 4: Wii Edition	thegamesdb
99-lucent-auto-wii.metadata.pegasus.txt	The Legend of Zelda: Skyward Sword	steamgriddb
